,cost,ingredients,level,name,quantity,total_time,type,beurre,oignon,oeuf
157,recipe-infos__level__container--level-1,"[""['1boîte  de litchi'"", "" '200g  de crevette rose'"", "" '1bouquet  de menthe']""]",recipe-infos__level__container--level-1,Amuse-gueules litchi crevette,4 personnes,00h20,Amuse-gueule,0,,0
158,recipe-infos__level__container--level-2,"[""['4 escalope de dinde'"", "" '1 oignon'"", ' ""4gousse  d\'ail""', "" '1petite boîte  de purée de tomate'"", "" '1/2cuillère à café  de gingembre'"", "" '1cuillère à café  de curcuma'"", "" ' Sel'"", "" ' Poivre'"", ' ""2cuillère à soupe  d\'huile""]']",recipe-infos__level__container--level-1,Dinde au curcuma,4 personnes,00h55,Plat principal,0,Yes,0
159,recipe-infos__level__container--level-2,"[""['10g  de beurre'"", ' ""1cuillère à soupe  d\'huile d\'olive""', "" '1 oignon'"", "" '2 carotte'"", "" '1 concombre'"", "" '1cuillère à café  de curcuma'"", "" '1cuillère à café  de curry'"", "" '13g  de fond de volaille'"", "" '17g  de farine'"", ' ""35cl  d\'eau""', "" '20g  de raisins secs'"", "" ' Citron'"", "" '1kg  de crevette'"", "" '1pincée  de sel']""]",recipe-infos__level__container--level-1,Crevettes au curcuma,6 personnes,00h40,Plat principal,10,Yes,0
160,recipe-infos__level__container--level-2,"[""['500g  de poulpe'"", "" '2 oignon'"", "" '85cl  de tomate'"", ' ""1petite gousse  d\'ail""', "" '1cuillère à soupe  de câpres'"", "" '2cuillère à soupe  de curcuma'"", "" '1/2cuillère à café  de piment fort'"", "" '3pincée  de thym']""]",recipe-infos__level__container--level-2,Poulpe au curcuma,4 personnes,1h15,Plat principal,0,Yes,0
161,recipe-infos__level__container--level-2,"[""['200g  de farine'"", "" '100g  de beurre'"", "" '1cuillère à soupe  de sel'"", "" '1cuillère à café  de sucre roux'"", "" '2cuillère à café  de curcuma'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Pâte sablée salée au curcuma,10 personnes,1h05,Accompagnement,100,,0
162,recipe-infos__level__container--level-1,"[""['2l  de moules'"", "" '1grosse cuillère à soupe  de curry'"", "" '1verre  de vin blanc'"", "" '10cl  de crème fraîche'"", "" '50g  de beurre'"", "" '1 échalote'"", "" ' Persil']""]",recipe-infos__level__container--level-2,Moules au curry,4 personnes,00h25,Plat principal,50,,0
163,recipe-infos__level__container--level-1,"[""['200g  de lentilles corail'"", "" '1 tomate'"", "" '1 oignon'"", ' ""2gousse  d\'ail""', "" ' Huile'"", "" '1 piment'"", "" ' Curry'"", "" ' Poivre'"", "" ' Sel'"", "" ' Coriandre']""]",recipe-infos__level__container--level-1,Lentilles corail au curry,4 personnes,00h25,Plat principal,0,Yes,0
164,recipe-infos__level__container--level-1,"[""['4 côte de porc'"", ' ""2cuillère à soupe  d\'huile""', "" '4cuillère à soupe  de miel'"", "" '2cuillère à soupe  de curry'"", "" '1/2 citron']""]",recipe-infos__level__container--level-1,côtes de porc au curry et au miel,4 personnes,00h20,Plat principal,0,,0
165,recipe-infos__level__container--level-2,"[""['1.8kg  de lotte'"", "" '1 poivron rouge'"", "" '1 poivron vert'"", "" '6 tomate'"", "" '400ml  de lait de coco'"", "" '1cuillère  de pâte de curry'"", "" ' Poivre'"", "" ' Sel'"", "" 'morceau  de sucre']""]",recipe-infos__level__container--level-2,Curry de lotte au lait de coco,8 personnes,00h40,Plat principal,0,,0
166,recipe-infos__level__container--level-1,"[""['10 datte'"", "" '30cl  de lait'"", "" '1 yaourt brassé']""]",recipe-infos__level__container--level-1,Lait de dattes,6 personnes,00h10,Dessert,0,,0
167,recipe-infos__level__container--level-2,"[""['20 datte'"", "" '3/4l  de lait'"", "" '3cuillère à soupe  de farine'"", "" '1gousse  de vanille'"", ' ""1/4l  d\'eau""]']",recipe-infos__level__container--level-1,Crème aux dattes,6 personnes,00h30,Dessert,0,,0
168,recipe-infos__level__container--level-2,"[""['200g  de farine'"", "" '100g  de sucre en poudre'"", "" '1sachet  de levure chimique'"", "" '3 oeuf'"", ' ""10cl  d\'huile de tournesol""', "" '10cl  de lait'"", "" '300g  de datte'"", ' "" Eau de fleur d\'oranger""]']",recipe-infos__level__container--level-1,Cake aux dattes,8 personnes,1h05,Dessert,0,,3
169,recipe-infos__level__container--level-1,"[""['250g  de datte'"", "" '8tranche  de bacon']""]",recipe-infos__level__container--level-1,Dattes au bacon,4 personnes,00h20,Amuse-gueule,0,,0
170,recipe-infos__level__container--level-3,"[""['300g  de semoule moyenne'"", "" '100g  de beurre'"", "" '1dose  de safran'"", "" ' Eau'"", "" '500g  de datte'"", "" '500g  de miel'"", ' ""5cl  d\'huile""', "" '10g  de sucre'"", "" '1cuillère à café rase  de cannelle'"", "" '1pincée  de clou de girofle']""]",recipe-infos__level__container--level-1,Makroud aux dattes,6 personnes,2h30,Dessert,100,,0
171,recipe-infos__level__container--level-1,"[""['4pavé  de saumon frais'"", "" '5 échalote'"", "" '2cuillère à soupe  de crème fraîche'"", "" '4cuillère à soupe  de vinaigre balsamique'"", "" '1pointe  de moutarde'"", "" '1noisette  de beurre'"", "" ' Sel'"", "" ' Eau']""]",recipe-infos__level__container--level-1,Saumon à l'échalote,4 personnes,00h25,Plat principal,1,,0
172,recipe-infos__level__container--level-1,"[""['1 échalote'"", "" '125g  de riz'"", "" '1cube  de bouillon'"", ' ""1cuillère à soupe  d\'huile d\'olive""]']",recipe-infos__level__container--level-1,Riz à l'échalote,2 personnes,00h20,Accompagnement,0,,0
173,recipe-infos__level__container--level-1,"[""['6 échalote'"", "" '10cl  de vin blanc'"", "" '4cuillère à soupe  de crème fraîche'"", ' ""1filet  d\'huile d\'olive""', "" '1pincée  de sel'"", "" '1pincée  de poivre']""]",recipe-infos__level__container--level-1,Sauce à l'échalote simple,1 personnes,00h10,Sauce,0,,0
174,recipe-infos__level__container--level-1,"[""['5 endive'"", "" '3 oignon rouge'"", "" '200g  de lardons'"", "" '1/2 reblochon'"", ' ""1cuillère à soupe  d\'huile d\'olive""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Tartiflette aux endives,4 personnes,00h25,Plat principal,0,Yes,0
175,recipe-infos__level__container--level-1,"['[""1kg  d\'endive""', "" '4tranche  de jambon'"", "" ' Crème fraîche liquide'"", "" ' Ail'"", "" ' Gruyère râpé'"", "" '1noisette  de beurre']""]",recipe-infos__level__container--level-1,Endive jambon,4 personnes,00h45,Plat principal,1,,0
176,recipe-infos__level__container--level-2,"[""['1rouleau  de pâte feuilletée'"", "" '5 endive'"", "" '2 crottin de Chavignol'"", "" '50g  de beurre'"", ' ""1cuillère à café  d\'herbes de Provence""', "" '1cuillère à soupe  de sucre'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Tarte tatin aux endives et chavignol,4 personnes,1h05,Entrée,50,,0
177,recipe-infos__level__container--level-2,"[""['4 escalope de poulet'"", "" '200g  de lardons fumés'"", "" '1 oignon'"", "" '15cl  de vinaigre balsamique'"", "" '4cuillère à soupe  de crème fraîche'"", ' ""1verre  d\'eau""]']",recipe-infos__level__container--level-2,Escalopes de poulet au vinaigre balsamique,4 personnes,00h30,Plat principal,0,Yes,0
178,recipe-infos__level__container--level-1,"[""['5 escalope de poulet'"", ' ""1gousse  d\'ail""', "" '2 échalote'"", "" '1cuillère à soupe  de curry'"", "" '1cuillère à soupe  de farine'"", "" '3 tomate pelée'"", "" '2 carotte'"", "" '1 pomme'"", "" ' Beurre'"", "" '1cuillère à soupe  de crème fraîche']""]",recipe-infos__level__container--level-1,Escalopes de poulet à l'indienne,4 personnes,00h45,Plat principal,0,,0
179,recipe-infos__level__container--level-1,"[""['4 escalope'"", "" '5 échalote'"", "" '4cuillère à café  de farine'"", "" '4cuillère à café  de moutarde'"", "" '25cl  de vin blanc'"", ' ""25cl  d\'eau""', "" ' Thym'"", "" ' Poivre'"", "" ' Sel'"", "" ' Matière grasse']""]",recipe-infos__level__container--level-1,Escalopes à la moutarde,4 personnes,00h45,Plat principal,0,,0
180,recipe-infos__level__container--level-2,"[""['4 escalope de dinde'"", "" '20cl  de cidre'"", "" '50cl  de crème'"", "" '1cuillère à soupe  de fond de veau'"", "" '500g  de champignon'"", "" '4cl  de calvados']""]",recipe-infos__level__container--level-1,Escalope à la normande,4 personnes,00h25,Plat principal,0,,0
181,recipe-infos__level__container--level-2,"[""['4 veau'"", "" '1boîte moyenne  de champignon'"", "" '2 oignon'"", "" '30g  de margarine'"", "" '25g  de farine'"", "" '50cl  de lait'"", "" ' Parmesan']""]",recipe-infos__level__container--level-1,Escalopes farcies,4 personnes,1h00,Plat principal,0,Yes,0
182,recipe-infos__level__container--level-1,"[""['1boîte  de lasagnes'"", "" '300g  de saumon fumé'"", ' ""500g  d\'épinards""', "" ' Parmesan'"", "" '50cl  de crème'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Lasagnes au saumon et aux épinards,4 personnes,00h40,Plat principal,0,,0
183,recipe-infos__level__container--level-3,"[""['350g  de tagliatelle'"", ' ""500g  d\'épinards""', "" '1 oignon'"", "" '1louche  de bouillon'"", ' ""2filet  d\'anchois""', "" '2petite cuillère  de parmesan râpé'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Tagliatelles aux épinards,4 personnes,00h40,Plat principal,0,Yes,0
184,recipe-infos__level__container--level-2,"['[""250g  d\'épinards""', "" '50g  de farine'"", "" '1 oeuf'"", "" '5cl  de lait'"", ' ""1petite cuillère  d\'huile""', "" ' Poivre'"", "" ' Sel'"", "" ' Huile de friture']""]",recipe-infos__level__container--level-2,Epinards en beignets,2 personnes,00h25,Entrée,0,,1
185,recipe-infos__level__container--level-1,"[""['1 fenouil'"", "" '80g  de beurre'"", "" '1 oignon'"", "" '250g  de riz'"", "" '3/4l  de bouillon'"", "" '100g  de parmesan'"", "" '4branche  de persil'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Risotto au fenouil,4 personnes,00h55,Plat principal,80,Yes,0
186,recipe-infos__level__container--level-1,"[""['4 fenouil'"", ' "" Huile d\'olive""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Fenouils à la méditerranéenne,4 personnes,00h45,Accompagnement,0,,0
187,recipe-infos__level__container--level-2,"[""['4bulbe  de fenouil'"", "" ' Citron'"", "" '1cuillère à café  de pâte de curry'"", "" '2cuillère à soupe  de crème fraîche'"", ' ""1verre  d\'eau""', ' "" Huile d\'olive""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Fenouil au curry,4 personnes,00h30,Plat principal,0,,0
188,recipe-infos__level__container--level-1,"[""['2 fenouil'"", "" '25g  de beurre'"", "" ' Crème fraîche'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Soupe au fenouil,4 personnes,00h20,Entrée,25,,0
189,recipe-infos__level__container--level-1,"[""['2 fenouil'"", "" '1 oignon'"", ' ""1gousse  d\'ail""', "" ' Muscade'"", "" '1 bouillon'"", "" '1cuillère à soupe  de pignons'"", ' ""1cuillère à soupe  d\'huile d\'olive""', "" ' Crème fraîche']""]",recipe-infos__level__container--level-1,Velouté de fenouil,2 personnes,00h30,Entrée,0,Yes,0
190,recipe-infos__level__container--level-2,"[""['500g  de fève'"", "" '500g  de pâtes'"", ' "" Huile d\'olive""', "" ' Poivre'"", "" ' Sel'"", "" '200g  de fromage']""]",recipe-infos__level__container--level-2,Fèves nouvelles,4 personnes,1h00,Accompagnement,0,,0
191,recipe-infos__level__container--level-1,"[""['250g  de fève'"", "" '1 oignon'"", "" '5cl  de crème fraîche liquide'"", "" '2feuille  de sauge'"", "" '25g  de beurre']""]",recipe-infos__level__container--level-1,Crème de fèves,4 personnes,00h35,Accompagnement,25,Yes,0
192,recipe-infos__level__container--level-1,"[""['4 râble de lapin'"", "" '4 oignon'"", "" '1kg  de fève'"", "" ' Ail'"", "" '1/2 citron'"", "" ' Cannelle'"", "" ' Cumin'"", "" ' Safran'"", "" ' Sel'"", "" '1 cube de bouillon'"", "" '1tranche  de jambon'"", ' ""3cuillère à soupe  d\'huile d\'olive""]']",recipe-infos__level__container--level-2,Tajine  aux fèves,2 personnes,2h30,Plat principal,0,Yes,0
193,recipe-infos__level__container--level-2,"[""['1sachet  de fève'"", "" '150g  de poitrine fumée'"", ' ""1cuillère  d\'huile d\'olive""', "" '2 carré frais'"", "" '1/2verre  de vin blanc'"", ' ""1 jaune d\'oeuf""', "" '1branche  de thym'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Fèves carbonara,4 personnes,00h30,Plat principal,0,,1
194,recipe-infos__level__container--level-1,"[""['450g  de fève'"", "" '75g  de lardons fumés'"", "" '1branche  de céleri'"", "" '1 oignon'"", ' ""3gousse  d\'ail""', "" '2 carotte'"", "" '1 poireau'"", "" '8cl  de vin blanc'"", "" '1 bouillon']""]",recipe-infos__level__container--level-1,Velouté de fèves,4 personnes,00h45,Entrée,0,Yes,0
195,recipe-infos__level__container--level-1,"[""['8 figue'"", ' ""1l  d\'eau""', "" '400g  de sucre'"", ' ""30cl  d\'eau""]']",recipe-infos__level__container--level-2,Alcool de figues,2 personnes,00h45,Boisson,0,,0
196,recipe-infos__level__container--level-1,"[""['300g  de farine'"", "" '250g  de beurre demi-sel'"", "" '250g  de mascarpone'"", "" '100g  de fromage blanc'"", "" '100g  de sucre'"", "" '300g  de framboise'"", "" '1 jus de citron'"", "" '50g  de sucre glace']""]",recipe-infos__level__container--level-2,Tarte aux framboises,4 personnes,1h00,Dessert,250,,0
197,recipe-infos__level__container--level-3,"[""['500g  de framboise'"", "" '200g  de sucre'"", ' ""20cl  d\'eau""]']",recipe-infos__level__container--level-2,Coulis de framboises,4 personnes,00h20,Sauce,0,,0
198,recipe-infos__level__container--level-1,"[""['3 oeuf'"", "" '100g  de sucre roux'"", "" '1sachet  de sucre vanillé'"", "" '250g  de mascarpone'"", "" '24 biscuit'"", "" ' Lait'"", "" '500g  de framboise']""]",recipe-infos__level__container--level-2,Tiramisu aux framboises,6 personnes,00h25,Dessert,0,,3
199,recipe-infos__level__container--level-2,"[""['4 oeuf'"", "" '150g  de gruyère râpé'"", "" '150g  de farine'"", "" '80g  de beurre'"", "" '1pincée  de muscade'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Gougères au fromage,6 personnes,00h45,Amuse-gueule,80,,4
200,recipe-infos__level__container--level-2,"[""['4 oeuf'"", "" '3cuillère à soupe  de crème fraîche'"", "" '30g  de roquefort'"", "" '2poignée  de gruyère râpé'"", "" ' Poivre'"", "" ' Sel'"", "" ' Huile']""]",recipe-infos__level__container--level-1,Omelette aerienne Calzone,2 personnes,00h10,Plat principal,0,,4
201,recipe-infos__level__container--level-1,"[""['1 poulet'"", "" '1bouquet  de thym'"", ' ""10gousse  d\'ail""', "" '1/2 citron'"", ' "" Huile d\'olive""', "" '25cl  de vin blanc'"", ' ""1petit verre  d\'eau""', "" '1cuillère à soupe  de maïzena'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Poulet aux parfums de garrigue,6 personnes,1h15,Plat principal,0,,0
202,recipe-infos__level__container--level-2,"[""['75g  de mâche'"", "" '2 betterave'"", "" '75g  de chèvre'"", "" '1 grenade']""]",recipe-infos__level__container--level-1,Chèvre à la grenade,2 personnes,00h5,Entrée,0,,0
203,recipe-infos__level__container--level-1,"[""['2 pomme'"", "" '1/4 grenade'"", "" '1 citron']""]",recipe-infos__level__container--level-1,"Jus de grenade, pomme et citron",1 personnes,00h5,Boisson,0,,0
204,recipe-infos__level__container--level-2,"['[""50g  d\'amande""', "" '120g  de beurre'"", "" '3 oeuf'"", "" '50g  de mascarpone'"", ' ""zeste  d\'orange""', "" '160g  de sucre'"", "" '6 figue'"", "" '300g  de raisin'"", "" '1cuillère à soupe  de grenade'"", ' ""6cuillère à soupe  de jus d\'orange""', "" '2cuillère à soupe  de Xérès']""]",recipe-infos__level__container--level-1,"Tarte aux raisins, figues et grenade",6 personnes,1h05,Dessert,120,,3
205,recipe-infos__level__container--level-1,"[""['100g  de fraise'"", "" '1/2 grenade'"", "" '250g  de yaourt'"", "" '125g  de mascarpone'"", ' ""1cuillère à café  d\'arôme""', "" '2cuillère à soupe  de sucre'"", "" '6 sablés']""]",recipe-infos__level__container--level-2,Verrine fraises-grenades,4 personnes,00h20,Dessert,0,,0
206,recipe-infos__level__container--level-1,"[""['1 poulet'"", "" ' Poivre'"", "" ' Sel'"", ' ""4cuillère à soupe  d\'huile d\'olive""', "" '250g  de pignons'"", "" '3 oignon'"", "" '5 grenade'"", "" '3pincée  de cannelle'"", "" '1dose  de safran'"", "" '1 citron'"", "" '1cuillère à soupe  de miel']""]",recipe-infos__level__container--level-1,Poulet d'Israël aux grenades,4 personnes,1h30,Plat principal,0,Yes,0
207,recipe-infos__level__container--level-1,"[""['1kg  de groseille'"", "" '300g  de sucre']""]",recipe-infos__level__container--level-1,Sirop de groseilles,1 personnes,1h20,Boisson,0,,0
208,recipe-infos__level__container--level-1,"[""['50cl  de lait'"", "" '90g  de sucre'"", ' ""3 jaune d\'oeuf""', "" '500g  de groseille']""]",recipe-infos__level__container--level-1,Coupe de groseilles,4 personnes,00h30,Dessert,0,,3
209,recipe-infos__level__container--level-1,"[""['1kg  de groseille'"", "" ' Sucre']""]",recipe-infos__level__container--level-1,Coulis de groseille,1 personnes,00h10,Sauce,0,,0
210,recipe-infos__level__container--level-1,"[""['500g  de groseille'"", "" '200g  de farine'"", "" '125g  de beurre'"", "" '180g  de sucre']""]",recipe-infos__level__container--level-1,Crumble aux groseilles,6 personnes,00h50,Dessert,125,,0
211,recipe-infos__level__container--level-2,"[""['1l  de goyave'"", "" '750g  de sucre'"", "" '1sachet  de pectine']""]",recipe-infos__level__container--level-1,Gelée de goyave facile,4 personnes,00h40,Confiserie,0,,0
212,recipe-infos__level__container--level-2,"[""['350g  de goyave'"", "" '50cl  de lait'"", ' ""1cuillère à soupe  d\'arôme""', ' ""1cuillère à café  d\'arôme""', "" '395g  de lait concentré sucré'"", "" '6 oeuf']""]",recipe-infos__level__container--level-1,Flan à la goyave,8 personnes,1h20,Dessert,0,,6
213,recipe-infos__level__container--level-1,"[""['2 pâte feuilletée'"", "" ' Confiture'"", ' ""1 jaune d\'oeuf""', "" '1 fève'"", "" '1gousse  de vanille']""]",recipe-infos__level__container--level-1,Galette des rois à la goyave,8 personnes,1h20,Dessert,0,,1
214,recipe-infos__level__container--level-2,"[""['20cl  de rhum'"", "" '20cl  de rhum'"", "" '20cl  de sirop'"", "" '30cl  de mangue'"", "" '30cl  de goyave'"", "" '60cl  de fruits'"", "" '1cuillère à café  de cannelle'"", "" '1/2cuillère à café  de gingembre'"", ' ""1cuillère à café  d\'extrait de vanille liquide""]']",recipe-infos__level__container--level-2,Planteur Mangue-Goyave,2 personnes,2h10,Boisson,0,,0
215,recipe-infos__level__container--level-1,"['[""8 côtelette d\'agneau""', "" '3cuillère à soupe  de sésame'"", "" ' Poivre'"", ' "" Huile d\'olive""', "" '4cuillère à café  de gelée']""]",recipe-infos__level__container--level-2,Côtelettes d'agneau et gelée de goyave,4 personnes,00h20,Plat principal,0,,0
216,recipe-infos__level__container--level-1,"[""['1fine tranche  de jambon'"", ' ""150g  d\'haricot vert""', "" ' Sauce tomate']""]",recipe-infos__level__container--level-1,Roulé de jambon aux haricots verts,1 personnes,00h30,Plat principal,0,,0
217,recipe-infos__level__container--level-2,['[]'],recipe-infos__level__container--level-1,Conserves de Haricots,1 personnes,1h50,Conseil,0,,0
218,recipe-infos__level__container--level-3,"['[""1petite boîte  d\'haricots noirs""', "" '1petite boîte  de tomate'"", "" '1 oignon'"", ' ""2gousse  d\'ail""', "" '1cuillère à soupe  de piment'"", "" '1cuillère à café  de cumin en poudre'"", ' ""20feuille  d\'épinards""', "" '100g  de feta'"", "" '1demi  de citron'"", "" ' Tortilla'"", "" ' Sauce salsa']""]",recipe-infos__level__container--level-2,Haricots a la mexicaine,4 personnes,00h45,Amuse-gueule,0,Yes,0
219,recipe-infos__level__container--level-1,"['[""1boîte  d\'haricot rouge""', ' ""400g  d\'haricot vert""', "" '100g  de fromage'"", "" '50g  de maïs'"", "" '2tranche  de jambon'"", "" 'pincée  de piment fort'"", ' ""2cuillère à soupe  d\'huile d\'olive""]']",recipe-infos__level__container--level-1,Haricots Sauteurs,2 personnes,00h25,Plat principal,0,,0
220,recipe-infos__level__container--level-2,"[""['1kg  de kaki'"", "" '1kg  de sucre'"", "" '1/2 jus de citron'"", "" '1gousse  de vanille']""]",recipe-infos__level__container--level-2,Confiture de kakis,6 personnes,1h07,Confiserie,0,,0
221,recipe-infos__level__container--level-1,"[""['2 kaki'"", "" '2dl  de crème'"", "" '2cuillère à soupe  de sucre en poudre'"", "" '1cuillère à soupe  de jus de citron']""]",recipe-infos__level__container--level-1,Mousse de kaki,3 personnes,00h15,Dessert,0,,0
222,recipe-infos__level__container--level-2,"[""['2 kaki'"", "" '4 pomme'"", "" '100g  de beurre'"", "" '200g  de farine'"", "" '120g  de sucre']""]",recipe-infos__level__container--level-2,Crumble au kaki,6 personnes,00h50,Dessert,100,,0
223,recipe-infos__level__container--level-1,"[""['1pot  de yaourt'"", "" '2demi  de farine'"", "" '3/4pot  de cassonade'"", "" '1 oeuf'"", "" '1 banane'"", "" '1 kaki'"", ' ""1/2pot  d\'huile""', "" '1sachet  de levure chimique'"", "" 'cuillère à soupe  de limoncello']""]",recipe-infos__level__container--level-1,Gateau au yaourt kaki-banane,6 personnes,00h40,Dessert,0,,1
224,recipe-infos__level__container--level-1,"[""['4 kiwi'"", "" '6tranche  de saumon fumé'"", "" '5cl  de crème fraîche liquide'"", "" '10g  de mayonnaise'"", "" ' Ciboulette']""]",recipe-infos__level__container--level-2,Verrines bicolores kiwi-saumon,8 personnes,00h15,Entrée,0,,0
225,recipe-infos__level__container--level-1,"[""['2 kiwi'"", "" '2 tomate'"", "" ' Poivre'"", "" ' Sel'"", "" ' Huile'"", "" ' Citron']""]",recipe-infos__level__container--level-1,Salade de kiwis et tomates de Lili,2 personnes,00h5,Entrée,0,,0
226,recipe-infos__level__container--level-2,"[""['1kg  de kiwi'"", "" '600g  de sucre'"", ' ""1l  d\'eau""]']",recipe-infos__level__container--level-1,Sirop de kiwis,1 personnes,00h30,Boisson,0,,0
227,recipe-infos__level__container--level-2,"[""['4 kiwi'"", "" '2 oeuf'"", "" '80g  de sucre en poudre'"", "" '1sachet  de sucre vanillé'"", ' ""1 eau de fleur d\'oranger""', "" '1sachet  de levure chimique']""]",recipe-infos__level__container--level-1,Beignet de kiwis,4 personnes,00h20,Dessert,0,,2
228,recipe-infos__level__container--level-2,"[""['1 lapin'"", "" '250g  de pruneau'"", "" '250g  de champignon frais'"", "" '200g  de lardons'"", "" '3cuillère à soupe  de moutarde'"", "" '1 oignon'"", ' ""3gousse  d\'ail""', "" '2cuillère à soupe  de farine'"", "" ' Poivre'"", "" ' Sel'"", "" '10 baies roses'"", "" '1cuillère à soupe  de beurre'"", ' ""3cuillère à soupe  d\'huile d\'olive""', "" '1/4 vin blanc sec']""]",recipe-infos__level__container--level-2,Lapin aux pruneaux,4 personnes,1h30,Plat principal,1,Yes,0
229,recipe-infos__level__container--level-1,"[""['1 lapin'"", "" '1bouteille  de vin blanc sec'"", "" '1 moutarde de dijon'"", "" '1petit pot  de crème fraîche'"", ' "" Huile d\'olive""', ' ""2gousse  d\'ail""', "" '5 échalote'"", "" '3 feuille de laurier'"", "" '1branche  de thym'"", "" ' Persil'"", "" ' Poivre'"", "" ' Sel'"", "" '1morceau  de sucre'"", "" '1 carotte']""]",recipe-infos__level__container--level-1,Lapin à la moutarde maison,1 personnes,1h00,Plat principal,0,,0
230,recipe-infos__level__container--level-1,"[""['4 râble de lapin'"", "" '250g  de girolle'"", "" '12 oignon blanc'"", ' ""4gousse  d\'ail""', "" '100g  de lardons'"", "" '60g  de farine'"", "" '30cl  de vin blanc'"", "" '70g  de beurre'"", "" '20cl  de bouillon de volaille'"", ' ""2 jaune d\'oeuf""', "" '150g  de crème fraîche'"", "" '1 bouquet garni'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Blanquette de lapin au riesling et aux girolles,4 personnes,1h20,Plat principal,70,Yes,2
231,recipe-infos__level__container--level-1,"[""[' Pâte brisée'"", "" '2kg  de lapin'"", "" '1bouteille  de vin rouge'"", "" '2 oignon'"", "" '100g  de lardons'"", "" ' Thym'"", "" ' Laurier'"", "" ' Persil'"", ' ""2gousse  d\'ail""', "" ' Poivre'"", "" ' Sel'"", ' ""1 jaune d\'oeuf""', ' ""2cuillère à soupe  d\'huile d\'olive""]']",recipe-infos__level__container--level-2,tourte au lapin,7 personnes,1h30,Plat principal,0,Yes,1
232,recipe-infos__level__container--level-2,"[""['2 laitue'"", ' ""1.5l  d\'eau""', "" '20cl  de crème fraîche'"", "" '1 pomme de terre'"", "" '1 oignon'"", ' ""1gousse  d\'ail""', "" '1cube  de bouillon de poule'"", "" ' Beurre'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Velouté de laitue,4 personnes,00h45,Entrée,0,Yes,0
233,recipe-infos__level__container--level-2,"[""['1 salade'"", "" '3 pomme de terre'"", "" '1 oignon'"", "" '1 bouillon de poule']""]",recipe-infos__level__container--level-1,Soupe de laitue,4 personnes,00h45,Entrée,0,Yes,0
234,recipe-infos__level__container--level-2,"[""['1.3l  de bouillon'"", "" '130g  de laitue'"", "" '10g  de beurre'"", "" '1 oignon'"", "" '3 pomme de terre'"", ' ""1 jaune d\'oeuf""', "" '40g  de crème'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Soupe de laitue,4 personnes,1h05,Entrée,10,Yes,1
235,recipe-infos__level__container--level-1,"[""['1 laitue'"", "" '2 oignon'"", "" '3 cube de bouillon'"", "" ' Fromage']""]",recipe-infos__level__container--level-1,Potage à la laitue rapide,4 personnes,00h30,Entrée,0,Yes,0
236,recipe-infos__level__container--level-2,"[""['250g  de lentilles verte'"", "" '4 saucisse'"", "" ' Oignon blanc'"", "" '1 carotte'"", "" '100g  de lardons fumés'"", "" '1 bouquet garni']""]",recipe-infos__level__container--level-1,Saucisses aux lentilles,4 personnes,00h55,Plat principal,0,,0
237,recipe-infos__level__container--level-1,"[""['200g  de lentilles corail'"", "" '1 tomate'"", "" '1 oignon'"", ' ""2gousse  d\'ail""', "" ' Huile'"", "" '1 piment'"", "" ' Curry'"", "" ' Poivre'"", "" ' Sel'"", "" ' Coriandre']""]",recipe-infos__level__container--level-1,Lentilles corail au curry,4 personnes,00h25,Plat principal,0,Yes,0
238,recipe-infos__level__container--level-1,"[""['500g  de lentilles verte'"", "" '1 oignon'"", "" '1 carotte'"", "" '2 saucisse de morteau'"", "" ' épices'"", ' "" Huile d\'olive""', "" ' Bouquet garni']""]",recipe-infos__level__container--level-1,Lentilles et saucisses de Morteau à ma façon,5 personnes,2h10,Plat principal,0,Yes,0
239,recipe-infos__level__container--level-1,"[""['600g  de lentilles verte'"", "" '5 carotte'"", "" '3 oignon'"", "" '150g  de champignon de Paris'"", "" '300g  de lardons fumés'"", "" '1l  de bouillon'"", "" '250g  de crème fraîche'"", "" '2 feuille de laurier'"", "" '350ml  de purée'"", "" ' Herbes de Provence'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Ragoût de lentilles vertes du Puy,8 personnes,1h25,Plat principal,0,Yes,0
